episode,steps,score,epsilon,success,keys_collected,doors_opened,wrong_key_attempts,termination_reason
1,73,2.6191666666666658,1.0,False,2,1,0,enemy_collision
2,100,6.647782738095234,0.998,False,2,1,1,timeout
3,97,17.770332341269842,0.996004,True,2,2,3,success
4,66,-3.6335155122655087,0.994011992,False,2,0,3,enemy_collision
5,20,-0.8235119047619053,0.992023968016,False,1,1,1,enemy_collision
6,17,-0.8623313492063485,0.990039920079968,False,2,0,0,enemy_collision
7,79,-7.429791666666666,0.9880598402398081,False,0,0,3,enemy_collision
8,100,7.848910082972583,0.9860837205593285,False,2,1,0,timeout
9,57,-8.56625,0.9841115531182099,False,0,0,4,enemy_collision
10,32,-5.834642857142858,0.9821433300119734,False,0,0,1,enemy_collision
11,35,-0.7422619047619063,0.9801790433519495,False,2,0,0,enemy_collision
12,100,1.7595238095238117,0.9782186852652456,False,2,0,3,timeout
13,100,4.73326884920634,0.976262247894715,False,2,0,0,timeout
14,100,2.714632936507944,0.9743097233989256,False,2,0,2,timeout
15,24,-1.7998511904761898,0.9723611039521278,False,2,0,1,enemy_collision
16,93,2.7853571428571398,0.9704163817442236,False,2,1,0,enemy_collision
17,100,4.726329365079359,0.9684755489807352,False,2,0,0,timeout
18,100,7.786027236652239,0.9665385978827737,False,2,1,0,timeout
19,20,-7.8445833333333335,0.9646055206870082,False,0,0,3,enemy_collision
20,81,-1.391453373015875,0.9626763096456342,False,2,0,1,enemy_collision
21,80,-2.4627791305916276,0.9607509570263429,False,2,0,2,enemy_collision
22,83,-15.54217261904762,0.9588294551122902,False,0,0,11,enemy_collision
23,74,-0.3433333333333346,0.9569117962020657,False,2,0,0,enemy_collision
24,57,-6.546458333333334,0.9549979726096616,False,0,0,2,enemy_collision
25,51,0.3324851190476181,0.9530879766644422,False,2,1,2,enemy_collision
26,55,0.4309523809523741,0.9511818007111134,False,1,1,0,enemy_collision
27,100,7.921607142857139,0.9492794371096911,False,2,1,0,timeout
28,8,-5.94625,0.9473808782354717,False,0,0,1,enemy_collision
29,23,-0.8242261904761907,0.9454861164790007,False,2,0,0,enemy_collision
30,56,-4.465178571428572,0.9435951442460427,False,1,0,2,enemy_collision
31,20,-4.870625,0.9417079539575507,False,0,0,0,enemy_collision
32,100,-0.18449404761904664,0.9398245380496356,False,2,0,5,timeout
33,88,-0.35069624819625744,0.9379448889735363,False,2,0,0,enemy_collision
34,59,2.3900446428571414,0.9360689991955893,False,2,1,0,enemy_collision
35,21,-5.850416666666667,0.9341968611971981,False,0,0,1,enemy_collision
36,100,-0.1842162698412697,0.9323284674748037,False,2,0,5,timeout
37,73,2.4494354256854223,0.930463810539854,False,2,1,0,enemy_collision
38,100,4.650520833333328,0.9286028829187744,False,1,1,1,timeout
39,94,-7.429834956709956,0.9267456771529368,False,2,0,7,enemy_collision
40,100,5.9874851190476255,0.9248921857986309,False,1,1,0,timeout
41,24,-0.8273511904761905,0.9230424014270336,False,2,0,0,enemy_collision
42,75,2.440297619047614,0.9211963166241796,False,2,1,0,enemy_collision
43,43,-0.5982142857142883,0.9193539239909312,False,1,1,1,enemy_collision
44,62,0.5292609126984136,0.9175152161429493,False,2,1,2,enemy_collision
