episode,steps,score,epsilon,success,keys_collected,doors_opened,wrong_key_attempts,termination_reason
1,100,-0.2668750000000005,1.0,False,0,0,1,timeout
2,48,-2.721795634920634,0.998,False,1,1,3,enemy_collision
3,35,-4.742083333333333,0.996004,False,0,0,0,enemy_collision
4,36,-4.741458333333334,0.994011992,False,0,0,0,enemy_collision
5,45,-10.679375,0.992023968016,False,0,0,6,enemy_collision
6,7,-2.947708333333334,0.990039920079968,False,1,0,0,enemy_collision
7,44,-4.655625000000001,0.9880598402398081,False,0,0,0,enemy_collision
8,37,-2.6934672619047615,0.9860837205593285,False,1,0,0,enemy_collision
9,32,-3.8006845238095233,0.9841115531182099,False,1,0,1,enemy_collision
10,30,-2.758958333333333,0.9821433300119734,False,1,0,0,enemy_collision
11,18,-2.8697916666666665,0.9801790433519495,False,1,0,0,enemy_collision
12,78,-4.346666666666668,0.9782186852652456,False,0,0,0,enemy_collision
13,68,-2.3967649711399703,0.976262247894715,False,1,0,0,enemy_collision
14,43,-2.6747619047619056,0.9743097233989256,False,1,0,0,enemy_collision
15,21,-4.851041666666667,0.9723611039521278,False,0,0,0,enemy_collision
16,45,-0.6485863095238091,0.9704163817442236,False,2,0,0,enemy_collision
17,100,0.7789583333333332,0.9684755489807352,False,0,0,0,timeout
18,74,-2.3767708333333317,0.9665385978827737,False,1,0,0,enemy_collision
19,41,-2.6854166666666672,0.9646055206870082,False,1,0,0,enemy_collision
20,32,-4.752916666666667,0.9626763096456342,False,0,0,0,enemy_collision
21,100,2.8354613095238097,0.9607509570263429,False,1,0,0,timeout
22,100,0.9560565476190496,0.9588294551122902,False,1,0,2,timeout
23,8,-2.9458928571428564,0.9569117962020657,False,1,0,0,enemy_collision
24,47,-4.581875000000001,0.9549979726096616,False,0,0,0,enemy_collision
25,40,-2.6722470238095237,0.9530879766644422,False,1,0,0,enemy_collision
26,33,-4.764791666666667,0.9511818007111134,False,0,0,0,enemy_collision
27,63,-2.4999107142857144,0.9492794371096911,False,1,0,0,enemy_collision
28,100,0.7560416666666661,0.9473808782354717,False,0,0,0,timeout
29,67,-3.5187500000000007,0.9454861164790007,False,1,0,1,enemy_collision
30,100,0.8164583333333336,0.9435951442460427,False,0,0,0,timeout
31,38,-4.6725,0.9417079539575507,False,0,0,0,enemy_collision
32,62,-2.507708333333333,0.9398245380496356,False,1,0,0,enemy_collision
33,30,-4.786250000000001,0.9379448889735363,False,0,0,0,enemy_collision
34,30,-2.795625,0.9360689991955893,False,1,0,0,enemy_collision
35,18,-2.879583333333333,0.9341968611971981,False,1,0,0,enemy_collision
36,33,-2.76110119047619,0.9323284674748037,False,1,0,0,enemy_collision
37,31,-4.774375,0.930463810539854,False,0,0,0,enemy_collision
38,45,-4.640416666666667,0.9286028829187744,False,0,0,0,enemy_collision
39,31,-2.7625892857142857,0.9267456771529368,False,1,0,0,enemy_collision
40,19,-4.8445833333333335,0.9248921857986309,False,0,0,0,enemy_collision
41,32,-4.773958333333334,0.9230424014270336,False,0,0,0,enemy_collision
42,92,0.5762301587301604,0.9211963166241796,False,1,1,0,enemy_collision
43,49,-2.5900446428571415,0.9193539239909312,False,1,0,0,enemy_collision
44,86,-2.29486607142857,0.9175152161429493,False,1,0,0,enemy_collision
45,20,-2.838035714285714,0.9156801857106633,False,1,0,0,enemy_collision
46,31,-4.7725,0.913848825339242,False,0,0,0,enemy_collision
47,44,-4.672291666666667,0.9120211276885636,False,0,0,0,enemy_collision
48,66,-0.45399801587301525,0.9101970854331864,False,2,0,0,enemy_collision
49,100,-11.259375,0.9083766912623201,False,0,0,12,timeout
50,100,2.8052529761904763,0.9065599378797955,False,1,0,0,timeout
51,11,-4.926875000000001,0.9047468180040359,False,0,0,0,enemy_collision
52,33,-4.768541666666667,0.9029373243680279,False,0,0,0,enemy_collision
53,44,-4.658541666666667,0.9011314497192918,False,0,0,0,enemy_collision
54,53,-4.629583333333334,0.8993291868198532,False,0,0,0,enemy_collision
55,43,-2.6914583333333337,0.8975305284462135,False,1,0,0,enemy_collision
56,8,-4.943333333333333,0.8957354673893211,False,0,0,0,enemy_collision
57,25,-2.7946726190476197,0.8939439964545425,False,1,0,0,enemy_collision
58,100,2.7913839285714284,0.8921561084616334,False,1,0,0,timeout
59,86,-2.3205357142857137,0.8903717962447101,False,1,0,0,enemy_collision
60,71,-4.437291666666668,0.8885910526522206,False,0,0,0,enemy_collision
61,48,-2.583392857142856,0.8868138705469162,False,1,0,0,enemy_collision
62,8,-4.942291666666667,0.8850402428058224,False,0,0,0,enemy_collision
63,46,-4.638333333333334,0.8832701623202107,False,0,0,0,enemy_collision
64,23,-4.8256250000000005,0.8815036219955703,False,0,0,0,enemy_collision
65,100,2.860842803030305,0.8797406147515792,False,1,0,0,timeout
66,30,-2.7752083333333335,0.877981133522076,False,1,0,0,enemy_collision
67,31,-2.7995833333333335,0.8762251712550319,False,1,0,0,enemy_collision
68,52,-2.576934523809522,0.8744727209125218,False,1,0,0,enemy_collision
69,8,-4.941458333333333,0.8727237754706968,False,0,0,0,enemy_collision
70,9,-4.937708333333334,0.8709783279197554,False,0,0,0,enemy_collision
71,100,2.7986160714285746,0.8692363712639158,False,1,0,0,timeout
72,33,-4.771041666666667,0.867497898521388,False,0,0,0,enemy_collision
73,24,-2.8137499999999993,0.8657629027243453,False,1,0,0,enemy_collision
74,19,-2.871875,0.8640313769188966,False,1,0,0,enemy_collision
75,19,-2.865208333333334,0.8623033141650589,False,1,0,0,enemy_collision
76,46,-4.658125,0.8605787075367288,False,0,0,0,enemy_collision
77,18,-2.8804166666666666,0.8588575501216553,False,1,0,0,enemy_collision
78,100,0.8104166666666676,0.857139835021412,False,0,0,0,timeout
79,44,0.2960367063492102,0.8554255553513692,False,1,1,0,enemy_collision
80,89,-2.2227096861471853,0.8537147042406664,False,1,0,0,enemy_collision
81,55,-2.6081250000000007,0.8520072748321851,False,1,0,0,enemy_collision
82,32,-4.764375,0.8503032602825207,False,0,0,0,enemy_collision
83,54,-2.60077380952381,0.8486026537619556,False,1,0,0,enemy_collision
84,32,-9.779166666666669,0.8469054484544317,False,0,0,5,enemy_collision
85,100,0.7925,0.8452116375575228,False,0,0,0,timeout
86,23,-4.840000000000001,0.8435212142824078,False,0,0,0,enemy_collision
87,69,-6.491458333333334,0.841834171853843,False,0,0,2,enemy_collision
88,100,0.7268750000000003,0.8401505035101353,False,0,0,0,timeout
89,100,3.68248511904762,0.838470202503115,False,1,1,2,timeout
90,43,-4.640833333333333,0.8367932620981088,False,0,0,0,enemy_collision
91,33,-2.7535119047619045,0.8351196755739125,False,1,0,0,enemy_collision
92,32,-4.773125,0.8334494362227647,False,0,0,0,enemy_collision
93,34,-2.7556250000000007,0.8317825373503192,False,1,0,0,enemy_collision
94,95,-4.287708333333334,0.8301189722756185,False,0,0,0,enemy_collision
95,56,-4.561875000000001,0.8284587343310672,False,0,0,0,enemy_collision
96,29,-2.803958333333334,0.8268018168624051,False,1,0,0,enemy_collision
97,57,-2.5042455808080812,0.8251482132286803,False,1,0,0,enemy_collision
98,68,-4.475208333333334,0.823497916802223,False,0,0,0,enemy_collision
99,31,-2.77875,0.8218509209686186,False,1,0,0,enemy_collision
100,33,-6.774791666666666,0.8202072191266814,False,0,0,2,enemy_collision
101,56,-4.578541666666667,0.818566804688428,False,0,0,0,enemy_collision
102,20,-4.842083333333334,0.8169296710790511,False,0,0,0,enemy_collision
103,100,0.7408333333333327,0.815295811736893,False,0,0,0,timeout
104,100,2.7980059523809544,0.8136652201134192,False,1,0,0,timeout
105,100,2.7126636904761914,0.8120378896731923,False,1,0,0,timeout
106,19,-2.853214285714286,0.8104138138938459,False,1,0,0,enemy_collision
107,20,-4.852083333333334,0.8087929862660582,False,0,0,0,enemy_collision
108,100,0.7733333333333332,0.8071754002935261,False,0,0,0,timeout
109,100,-0.22645833333333354,0.805561049492939,False,0,0,1,timeout
110,59,-4.576041666666667,0.8039499273939532,False,0,0,0,enemy_collision
111,34,-4.765,0.8023420275391653,False,0,0,0,enemy_collision
112,100,2.816443452380955,0.800737343484087,False,1,0,0,timeout
113,19,-2.861666666666667,0.7991358687971188,False,1,0,0,enemy_collision
